"n_markers","noise_frac","rep","prop_cor_mean","prop_cor_min","auroc","cci_true","cci_bg","cci_separation","runtime"
3,0,1,0.850925012249283,0.817657617359683,0.973564285714321,0.225084162174936,0.640233816663322,0.415149654488386,0.0365440845489502
3,0,2,0.900129136479813,0.711062912450475,0.979176785714286,0.266188210072144,0.680926052858171,0.414737842786027,0.0440070629119873
3,0,3,0.867241980091431,0.593205663988074,0.99406785714287,0.315585312719417,0.741641525158007,0.42605621243859,0.00635409355163574
3,0,4,0.895348023114218,0.841334987677594,0.917894642857136,0.316455340886649,0.737114387326543,0.420659046439894,0.00648999214172363
3,0,5,0.807571173419713,0.654378810462267,0.944507142857133,0.232983795352107,0.593873406985624,0.360889611633517,0.00639486312866211
3,0.1,1,0.85128814529118,0.65074755784853,0.993980357142892,0.210596504680159,0.6307702571823,0.420173752502141,0.00763583183288574
3,0.1,2,0.878341135245968,0.682596959660915,0.991778571428607,0.261548763118946,0.675975997329462,0.414427234210515,0.00647592544555664
3,0.1,3,0.90769911037103,0.730190294281248,0.991903571428567,0.299273705767007,0.725339631485312,0.426065925718305,0.00590395927429199
3,0.1,4,0.885652963594666,0.767137126917508,0.985514285714308,0.22280890603404,0.612805240119293,0.389996334085253,0.00624394416809082
3,0.1,5,0.92050239005117,0.807140775940855,0.99449107142859,0.263186023244447,0.681228590996529,0.418042567752082,0.00683999061584473
3,0.25,1,0.927379035521604,0.904146259834212,0.997146428571447,0.301131542211815,0.688308244010365,0.38717670179855,0.00756192207336426
3,0.25,2,0.898313621462037,0.719483900306772,0.98983214285715,0.281410280864018,0.762898960424335,0.481488679560317,0.00908207893371582
3,0.25,3,0.911589163668338,0.754871610178904,0.992375000000031,0.274264550370998,0.72359401604238,0.449329465671382,0.00718498229980469
3,0.25,4,0.562237653731215,-0.544895225542424,0.996369642857144,0.297276874248352,0.697400767156913,0.400123892908561,0.0070188045501709
3,0.25,5,0.664421686590988,-0.128964849333747,0.971349999999996,0.173194919463105,0.537159779271914,0.363964859808809,0.0072028636932373
3,0.5,1,0.90930282740644,0.859754131191096,0.991928571428622,0.247491953899446,0.652628308157778,0.405136354258332,0.00807809829711914
3,0.5,2,0.50552623450507,-0.915591059069298,0.987623214285721,0.225006538609587,0.678781151160435,0.453774612550848,0.00806903839111328
3,0.5,3,0.877824251380835,0.718850107474667,0.994191071428605,0.242500219859784,0.671034411322473,0.428534191462689,0.00821805000305176
3,0.5,4,0.667012623054411,-0.240145366478539,0.985660714285727,0.201585607255046,0.60793832799426,0.406352720739215,0.00834417343139648
3,0.5,5,0.778068518269762,0.130925091281497,0.988469642857141,0.332015849663339,0.755440549315415,0.423424699652077,0.00796604156494141
5,0,1,0.928166068367321,0.784454011037964,0.991667857142903,0.285935864087275,0.709133521580602,0.423197657493327,0.00798511505126953
5,0,2,0.801354905699532,0.412549905294351,0.992846428571455,0.2621537182391,0.682886083608705,0.420732365369604,0.0102109909057617
5,0,3,0.889973609419837,0.65101631338345,0.99796785714286,0.257096257433159,0.7217152622964,0.464619004863241,0.0103549957275391
5,0,4,0.925114392781012,0.806109144789567,0.991873214285741,0.295009395608132,0.745728697535487,0.450719301927355,0.0106620788574219
5,0,5,0.942135398773363,0.852370087262244,0.988475000000036,0.245799203043896,0.704416397276787,0.458617194232891,0.00809907913208008
5,0.1,1,0.832725516161864,0.608853251062167,0.997694642857152,0.259853736600883,0.674522523615159,0.414668787014275,0.00827503204345703
5,0.1,2,0.896286109753619,0.604418534744383,0.995155357142918,0.32054267099478,0.778690533641652,0.458147862646872,0.0082240104675293
5,0.1,3,0.904484380873245,0.765443002716293,0.973498214285713,0.245171069317069,0.66499654338543,0.419825474068361,0.0080411434173584
5,0.1,4,0.92330740488504,0.863577449745076,0.939533928571412,0.257047485400165,0.616157643607651,0.359110158207486,0.00810885429382324
5,0.1,5,0.883697839566089,0.750608614602994,0.974948214285714,0.254681140738857,0.63922832808729,0.384547187348433,0.00777292251586914
5,0.25,1,0.863696188152486,0.706560941848249,0.990880357142873,0.253033717045192,0.706854494049696,0.453820777004504,0.00908899307250977
5,0.25,2,0.883253663844517,0.587265842806437,0.996451785714294,0.273919367553439,0.723341095344085,0.449421727790646,0.00864005088806152
5,0.25,3,0.938769381051446,0.885028919574439,0.982258928571444,0.298151268465578,0.73741519017379,0.439263921708212,0.00906491279602051
5,0.25,4,0.934798886262564,0.851967817274577,0.990148214285729,0.270285744641471,0.655094552105653,0.384808807464182,0.00891590118408203
5,0.25,5,0.91542812196363,0.715231454622637,0.994983928571493,0.310940385869836,0.781687695941873,0.470747310072037,0.0090329647064209
5,0.5,1,0.942168161003703,0.911048216784117,0.983842857142859,0.255610697264102,0.704249496964225,0.448638799700123,0.00997805595397949
