"gene","delta_moderate","delta_extreme","sd_moderate","sd_extreme"
"IL1B",-0.7984,-0.9871,0.0637,0.0801
"CXCL8",-0.7152,-0.8705,0.0627,0.071
"IL6",-0.6842,-0.8199,0.0578,0.0697
"TNF",-0.5975,-0.7634,0.053,0.0657
"PTGS2",-0.5743,-0.7038,0.0482,0.0539
"CCL2",-0.5202,-0.6473,0.0463,0.0515
"TOP2A",-0.4078,-0.5466,0.0327,0.0495
"IL1A",-0.4348,-0.5453,0.0347,0.0458
"CXCL10",-0.4353,-0.5449,0.0349,0.034
"MMP9",-0.4332,-0.5409,0.0368,0.0388
"CCL5",-0.3767,-0.491,0.0254,0.0369
"SELE",-0.3838,-0.4848,0.0308,0.0415
"ICAM1",-0.3826,-0.4838,0.0326,0.0358
"VCAM1",-0.3252,-0.439,0.0267,0.0338
"MYC",-0.3247,-0.437,0.0261,0.0367
"CCNB1",-0.3301,-0.4347,0.0267,0.0394
"CXCL9",-0.3222,-0.429,0.029,0.0319
"CCND1",-0.2757,-0.385,0.0209,0.0286
"BCL2",-0.2476,-0.3314,0.0196,0.0267
"NLRP3",-0.2459,-0.3308,0.0208,0.0258
"IL18",-0.2463,-0.3306,0.0186,0.0268
"NFKB1",-0.2454,-0.3294,0.0192,0.0308
"RELA",-0.1918,-0.2742,0.0167,0.0233
"CASP1",-0.1624,-0.2159,0.0131,0.0175
"TP53",0.1919,0.2716,0.0153,0.0228
"FAS",0.1887,0.2718,0.0147,0.0212
"TNFRSF10B",0.2756,0.3785,0.0192,0.0287
"BAX",0.2723,0.379,0.021,0.031
"GADD45A",0.274,0.3833,0.0233,0.0292
"PMAIP1",0.3029,0.4356,0.0266,0.0351
"BBC3",0.3532,0.4917,0.0289,0.0397
"CDKN1A",0.4584,0.6584,0.033,0.0528
