"TF","Mean_FHL","Mean_HC","Delta","P_value","FDR"
"STAT3",0.863777183772727,0.00645552057777779,0.85732166319495,6.39382230731964e-05,0.000149189187170792
"NFKB1",2.29622628462879,0.0442737708328283,2.25195251379596,3.2816973864788e-05,0.000114859408526758
"NFE2L2",0.480405870155844,0.0130144173311688,0.467391452824675,0.000863004407521467,0.00120820617053005
"STAT1",0.0440270761233766,0.0480587632896104,-0.00403168716623376,0.987951161859608,0.987951161859608
"HIF1A",0.672724870424242,0.0102842207631313,0.662440649661111,0.000179324205721381,0.000313817360012416
"IRF1",0.148322508054545,0.0245069228575758,0.12381558519697,0.532580934429897,0.621344423501546
"TP53",0.756836369643939,0.0155040225272727,0.741332347116667,6.66059710142846e-07,4.66241797099992e-06
