"CellType","Sepsis","Healthy","Delta"
"CD8_Tcells",3.77638442822644e-14,4.13427855664694e-14,-3.57894128420503e-15
"CD4_Tcells",0.000226212478804817,0.000252739265657939,-2.65267868531216e-05
"NK_cells",6.40200969963611e-06,7.21023380413414e-06,-8.08224104498035e-07
"B_cells",0.812462752175816,0.864824450572465,-0.052361698396649
"Monocytes",0.0501558112109772,0.0317944828451941,0.0183613283657831
"Neutrophils",0.137148822124664,0.103121117082837,0.034027705041827
