,PID200353,PID200396,PID200593,PID200594,PID200609,PID200622,PID200637,PID200641,PID200657,PID200673,PID200704,PID200758early,PID200758late,PID200785,PID200805,PID200812,PID200965,PID200967,PID200970,PID200974,PID201020,PID201056,PID201087,PID201208,PID201295
B_cells,0.13429025068524486,0.11605998150297822,0.11557619629841538,0.11827283623330186,0.14675305113680587,0.14569827178196834,0.09331980812889834,0.11220413463685323,0.11022058838377528,0.11192379813426137,0.11525889192168914,0.09854689729911985,0.1324253796830871,0.11279353204615636,0.1115580678914797,0.09428073960735694,0.11736611328603337,0.11316207578510389,0.12787477568240205,0.12956498931052876,0.09368141480147708,0.1613297055314965,0.12853507654799487,0.13827417089054125,0.08702027882068336
CD8_Tcells,0.19002438653555645,0.1913402766803978,0.18368209163873953,0.18251679667457635,0.22554311611070063,0.21854303757453103,0.20122857633481606,0.20296191534551458,0.20129355462485787,0.16208954592177738,0.16936307529523076,0.2129182375213805,0.2406241035999615,0.1454915478854049,0.1597727177256944,0.18324730923319144,0.2049543633510006,0.18875441803210735,0.21140919020403237,0.22390926657627272,0.18421351847905842,0.16135245109373483,0.21428153788831056,0.1935569870323583,0.1977031553588962
CD4_Tcells,0.16261115814345004,0.10852813085073383,0.16071930859202607,0.16496236417384544,0.16718267608720788,0.15679904104096837,0.15707193942602668,0.15791309838053047,0.15421540279105295,0.07816138185244845,0.13538036007341633,0.13688480174057507,0.1719409482005127,0.09633061080866695,0.1294136842596303,0.15740527385817787,0.12221282991217668,0.1618832890661382,0.15809954479710475,0.18995596416061827,0.1454212502769955,0.1581019645297145,0.1418926087407612,0.12786829898899021,0.17398758279704193
NK_cells,0.10285874534120547,0.11738538796381678,0.09723737441089154,0.0939104072155235,0.11318667276341342,0.10559183196017789,0.10326035309526123,0.10538086757915517,0.10651446551985828,0.12140983782169783,0.09372077639351077,0.10927385110121546,0.11192703705854654,0.06119174870392889,0.08046429595875798,0.10461430451173818,0.10441190544061128,0.1006558853461981,0.1271153332710251,0.10522570787336451,0.08603397407550922,0.07386660851029934,0.13980488071008704,0.1207563917416549,0.08938440262731043
Monocytes,0.19744597044775689,0.2399145287340486,0.22653484471294483,0.2235240696325934,0.18871641868066502,0.19978933590446835,0.22222928250836452,0.21822980136858358,0.2216205066586336,0.19845182270222456,0.2524284896380811,0.20394418590295915,0.1742921276529518,0.1645041431165025,0.19631168112814731,0.2359318952561229,0.19824122405677047,0.21883472959504824,0.18337797312087123,0.18843202115894644,0.21373443100451495,0.1771908631022791,0.19168602569073123,0.18497632598986272,0.23139982544061258
Macrophages,0.09952440487924198,0.10413092730969914,0.11267840649252012,0.10770695998668939,0.07503337196935839,0.08426703624281091,0.11220062126602955,0.11099142186474403,0.10756945874026469,0.1062675937385795,0.12893387026267966,0.09380530687428772,0.0677705880676206,0.09745802018925503,0.09719629192003809,0.11507776318506557,0.09655930517308982,0.1118167025548699,0.06360928864474322,0.08351170198436503,0.09950034630351481,0.08191044731894237,0.09493365858831405,0.11891287405609217,0.10484694335649726
Neutrophils,0.0510145285255075,0.07647503375303014,0.07471873827352887,0.06633286869203246,0.04547348105742345,0.05697471485912223,0.06453134347017872,0.062739965613895,0.06679966887044643,0.07102102701130386,0.07942651741811627,0.05066761476625834,0.04276053410250455,0.040186195656709466,0.06469774354751395,0.07356084507732923,0.06273409336739248,0.059869033905124436,0.05791126728921657,0.044573452466841045,0.06607894626667495,0.03860098192817316,0.056244762388673895,0.06617240179385005,0.06301473529953416
Erythrocytes,0.06223055544203692,0.04616573320529569,0.02885303958093375,0.04277369739143755,0.038111212194425446,0.032336730635952805,0.046158075770424835,0.0295787952107239,0.03176635441111108,0.15067499281770708,0.025488018997275947,0.093959104794204,0.058259281634815176,0.2820442015933758,0.16058551756873832,0.035881869271017997,0.0935201654129253,0.04502386571540995,0.07060262699060475,0.03482689646906323,0.11133611879225512,0.14764697798536006,0.03262144944512718,0.04948254950665059,0.0526430762994241
