"gene","delta_moderate","delta_extreme","sd_moderate","sd_extreme"
"IL1B",-1.4893,-1.7949,0.0823,0.107
"CXCL8",-1.3166,-1.5817,0.0686,0.1073
"IL6",-1.2687,-1.5133,0.0824,0.1025
"TNF",-1.1033,-1.4063,0.0627,0.0858
"PTGS2",-1.0402,-1.3037,0.0634,0.0714
"CCL2",-0.9449,-1.192,0.0544,0.0714
"MMP9",-0.7996,-1.0058,0.048,0.0589
"IL1A",-0.8069,-1.0042,0.0491,0.0598
"CXCL10",-0.7997,-1.0022,0.05,0.0593
"TOP2A",-0.7502,-1.0009,0.0451,0.0637
"ICAM1",-0.6976,-0.9072,0.0409,0.052
"SELE",-0.7005,-0.9009,0.04,0.0501
"CCL5",-0.6972,-0.898,0.0453,0.0507
"VCAM1",-0.6033,-0.8051,0.0376,0.0513
"MYC",-0.6073,-0.7993,0.0375,0.0501
"CCNB1",-0.6011,-0.7933,0.0373,0.0469
"CXCL9",-0.6001,-0.7902,0.0325,0.0457
"CCND1",-0.5019,-0.7032,0.0295,0.0443
"NLRP3",-0.4493,-0.609,0.0237,0.0383
"NFKB1",-0.4485,-0.5989,0.0268,0.0337
"BCL2",-0.4512,-0.5967,0.0267,0.0307
"IL18",-0.452,-0.5964,0.0263,0.0384
"RELA",-0.3493,-0.4973,0.0218,0.0311
"CASP1",-0.3012,-0.3998,0.0167,0.026
"FAS",0.3514,0.4981,0.0209,0.0279
"TP53",0.3503,0.5017,0.0227,0.033
"GADD45A",0.4992,0.6973,0.0312,0.0419
"BAX",0.5013,0.6982,0.03,0.0381
"TNFRSF10B",0.4989,0.7008,0.0311,0.0467
"PMAIP1",0.547,0.7935,0.0314,0.0431
"BBC3",0.6463,0.9033,0.0366,0.0543
"CDKN1A",0.8505,1.2049,0.0512,0.0786
