"Gene","Module"
"DSC1",0
"CPNE8",4
"H1-2",5
"QKI",1
"WTAP",1
"MOXD1",1
"NDRG3",1
"MGLL",1
"FAM13A",3
"BBS2",1
"KIF5C",1
"LINC00667",1
"LIN37",2
"RYBP",1
"GUSBP1",1
"APOL6",13
"LOC100996756",2
"TICAM1",6
"AKAP12",1
"NLRP2",2
"DSEL",1
"DUSP1",8
"SLC25A23",1
"NFKBIZ",1
"RUNX2",1
"AXIN2",1
"HIP1",3
"PAQR8",1
"GBP1P1",1
"ZNF594",1
"LINC01355",1
"CDC14B",9
"ZNF709",1
"IGLL3P",1
"LOC100507053",1
"CD300A",4
"ZNF606",1
"RPS26",1
"GASK1B",4
"NTNG2",10
"ZNF260",1
"LOC102724638",1
"DICER1-AS1",1
"USP10",11
"NEK2",5
"PWWP3A",1
"PVRIG",1
"FGFR2",1
"RALGDS",6
"ATXN1-AS1",6
"SELP",9
"LTB4R",10
"LST1",4
"RBPMS2",9
"GPR180",1
"ZNF788P",7
"KDM4C",14
"POLB",12
"ANKRD50",1
"DOT1L",3
"MED13",14
"PCGF5",5
"KDM4B",1
"ZFYVE16",2
"KIR2DS2",1
"ZC2HC1A",4
"SAMD8",1
"ACYP1",1
"WARS2",12
"RALGPS2",1
"LEPR",9
"ANKEF1",1
"ADTRP",1
"AHSA2P",1
"MANSC1",7
"GGTA1",4
"NDFIP2",3
"DIP2C",1
"IL2",3
"ZNF365",1
"PRKCQ-AS1",1
"PHC2",1
"MAPKAPK5",1
"MSRB1",10
"TSTD1",1
"IL2RA",3
"ENTPD7",3
"DNAJC3",1
"TTC21B",1
"CIDEB",2
"LINC00339",1
"TNFSF14",3
"TUBB1",9
"GOLM1",1
"DYNC1I2",1
"SPTSSA",8
"SFI1",2
"FGD6",8
"JARID2",1
"ZSCAN2",1
"BCOR",4
"SF1",6
"FCGR1A",10
"NEK4",1
"SPTBN1",1
"ECI2",1
"NTPCR",1
"CLEC1A",4
"PIP4P2",4
"ITPRID2",2
"WNT6",0
"PPP3CB-AS1",1
"KCNQ1OT1",2
"TNFRSF13C",1
"PIK3CB",1
"UCP2",1
"CXXC5",3
"CYB561",1
"SLFN12",1
"RAD51AP1",7
"EFHC1",1
"FEM1B",8
"KLRB1",1
"EXOSC4",6
"PITPNC1",1
"PDE7A",8
"RPS6KA5",1
"TCL6",1
"HSF5",1
"CHST7",6
"MORF4L2-AS1",1
"GAS1",1
"DLC1",1
"TTTY10",0
"NID1",4
"H2AJ",3
"EMC10",1
"ZFP64",1
"PPARG",1
"ZCCHC18",1
"PARP14",13
"CORO1B",2
"PCED1B",2
"LINC00487",13
"H2AC8",9
"SORBS1",5
"BACE2",1
"BST1",10
"PIGK",1
"JPX",1
"TASOR2",14
"PIGN",1
"MIX23",0
"SCPEP1",4
"MOSPD1",5
"RC3H2",12
"CRAT",2
"COQ2",1
"LHFPL2",1
"SGSM3",1
"ERI2",1
"CLEC4D",6
"ERVK13-1",1
"PLXNB2",2
"COQ3",1
"ZNF718",1
"MAP7",1
"AMFR",5
"KIF11",7
"SNX5",1
"RHOB",4
"LRRC69",1
"CRTAP",3
"CDCA8",7
"SH2D3C",2
"CMBL",5
"TGFBR3",1
"SLC27A2",7
"NELL2",1
"DLG5",1
"IL24",1
"SPTLC1",1
"NSG1",1
"CYP4V2",1
"HDHD2",1
"COG6",1
"MS4A2",1
"LMF1",2
"ABTB2",3
"ARSD",4
"ZMYM2",8
"KDM7A",1
"LINC00597",3
"GIMAP4",1
"FKBP8",5
"THYN1",1
"TTYH2",4
"ARHGAP6",9
"CDK10",2
"PECAM1",3
"ZNF267",3
"PLAG1",1
"SOCS3",1
"FOLR1",1
"HPGD",1
"TBC1D4",1
"TMEM116",1
"RPUSD3",2
"IGF2BP3",1
"CD82",1
"TCAF1",1
"TBC1D9",1
"PGAP1",1
"DTNB-AS1",1
"GNAS",2
"RNASE2CP",10
"RTP4",1
"FUT1",7
"NAP1L3",1
"STAMBPL1",1
"SLC2A6",6
"C6orf62",1
"IFT25",1
"RUNDC3A-AS1",5
"KDELR3",1
"LOC399900",1
"TRAM2-AS1",3
"KIF13A",4
"ITGA2B",9
"AURKA",7
"ABAT",1
"BCL6",1
"HES1",1
"UBE3D",1
"THAP6",3
"RXRA",1
"ABCC3",1
"FBXL17",1
"ATP6V0C",6
"ANTXR2",1
"CSMD1",1
"SLC24A3",9
"SCD",1
"CHAC1",3
"PTPN18",4
"BTG1",8
"CSGALNACT1",3
"GYPC",5
"CRTAM",1
"SLC2A1",5
"PPP2R2B",1
"TFEC",10
"TCF4",1
"SIRPB1",4
"DKK3",3
"FUT4",1
"WHAMMP2",1
"BCL2L11",1
"COL5A3",1
"PNPLA4",1
"PPP1R3B",1
"ATP8B1-AS1",1
"ZCCHC3",1
"HEPACAM2",5
"BBS10",1
"LTB",1
"SRC",1
"MOB3B",1
"TAP2",11
"MXRA7",1
"BBLN",2
"SPATA7",1
"ACRBP",9
"HPS1",5
"ALDH3A2",4
"GPM6A",1
"SPON1",10
"MID2",3
"NOTCH3",1
"LOC102723335",1
"DENND2D",8
"PLS3",1
"CA13",12
"TLR5",1
"BCAR3",1
"IFIT2",13
"IKBIP",8
"PPP1R14A",1
"ZDHHC20",1
"GIMAP7",8
"LOC283788",1
"S1PR3",4
"TMEM64",2
"ZNF232",1
"JMY",8
"BCL11A",1
"KRCC1",8
"CENPN",1
"ELOVL4",1
"MAP3K7CL",9
"IL32",1
"SIT1",1
"LILRB2",4
"CDKN2B",8
"PLPP6",1
"MYNN",1
"PTPN23",2
"CD164",3
"NEDD9",1
"PPM1A",11
"TRAV9-2",1
"RGL1",13
"ELL2",1
"RIPOR3",5
"MICAL3",1
"NRARP",1
"ANKDD1A",1
"PDGFA",9
"CHM",3
"DDX60L",3
"ABHD6",1
"GBP5",1
"GGH",7
"CLUAP1",1
"P2RY14",1
"SNTB2",1
"HIC1",1
"DMXL1",8
"TGM2",5
"PER1",1
"TRIB3",6
"FCGRT",2
"LOC374443",1
"MYO6",0
"MGST2",4
"C2CD2",1
"TCIRG1",2
"CTSO",3
"S100A12",10
"RMND5A",5
"AVL9",14
"BSG",5
"CCNB1",7
"OXLD1",2
"TC2N",1
"LY6E",2
"ZFP14",1
"MTUS1",1
"SLC39A14",1
"CXCL16",1
"PGM3",1
"MAPK13",3
"LOC102723458",1
"GIMAP6",1
"MAX",1
"C3",1
"TPR",1
"TDRD12",1
"ANKLE1",5
"SF3A2",2
"CAMK2D",6
"ATP6V1H",1
"TBC1D22B",4
"LINC00921",1
"PLEKHA8P1",1
"LY9",1
"GLS",3
"CASP8AP2",1
"SEC62",1
"MEF2C",3
"PDCD6P1",0
"DIPK1B",2
"GATA2",1
"SLC22A5",1
"MTCL1",1
"FZD5",5
"SORL1",5
"ZFAND3",1
"CDK5R1",1
"ZC3H14",1
"RNF10",5
"ARHGEF10L",4
"PML",6
"PDE4DIPP6",8
"PINK1",5
"KLRC4",1
"LYRM7",1
"MYO9B",6
"AP1G2",2
"IGHG1",1
"PPDPF",2
"NOD2",4
"ZNF652",1
"FASLG",1
"CLCN3",1
"EMILIN2",6
"HACD4",4
"SELPLG",2
"SMIM1",5
"FAM124B",1
"ASCL2",2
"PTPRS",1
"MAP3K5-AS2",10
"ZNF683",2
"LRPPRC",1
"GCLM",3
"CEBPA",4
"STK38",1
"EZR",11
"ZNF320",1
"UBR2",2
"COMMD10",1
"SERTAD1",1
"ABHD10",3
"VASH1",0
"MAN1A1",5
"TXK",1
"DLGAP1-AS6",9
"CENPW",7
"CHURC1",1
"STRIP2",3
"MEF2A",8
"ZNF80",1
"CROT",1
"PRIMPOL",1
"MRTFB",1
"MDS2",1
"ADAM12",1
"TNNI3K",1
"GTF2H5",1
"CREB3L1",5
"SNX24",1
"RBM15",1
"PEX1",1
"ZNF83",1
"AKAP9",1
"FRMD4A",1
"L3MBTL4",3
"LRP1",4
"DENND1A",4
"FAS-AS1",1
"SNRPN",1
"FES",2
"TP53I3",10
"TPX2",7
"SULT1A1",3
"ZNF443",1
"ASAP2",9
"NICOL1",2
"DMAC1",1
"SPIN3",1
"SMAD7",1
"METTL6",1
"TPK1",4
"MIB1",1
"SSH2",1
"IDH1",1
"HSPA1L",1
"ZNF185",9
"IGF2BP2",5
"PDZK1IP1",5
"MCPH1",1
"SNX29",1
"MCOLN2",7
"CSTA",4
"NAAA",3
"RGS19",2
"NNT-AS1",1
"DST",4
"CD55",1
"TLR2",6
"FGFR3",1
"RPH3AL",1
"CENPQ",8
"DENND1B",1
"LOC105377320",14
"TPCN1",2
"LYL1",5
"TSPAN3",3
"CH25H",1
"GP5",1
"DSG2",1
"ALAD",1
"TIGD7",1
"FUCA2",4
"LDLRAD3",4
"PAX8-AS1",1
"TAGAP",1
"ZNF496",2
"ROBO3",2
"STX17",6
"RAB3D",4
"RNF207",1
"RAB11FIP3",1
"ZNF23",1
"MORC2-AS1",1
"NSUN7",1
"USP32",5
"KIR3DL3",1
"TLR10",1
"H2BC4",9
"DPP4",1
"PLPP5",1
"ERCC1",2
"HELB",1
"C5",3
"CD209",4
"DPY19L1P1",7
"IL1RL1",3
"STAB1",2
"ADORA2B",3
"BLVRA",4
"ZNF767P",1
"USO1",6
"WDR26",5
"SMYD4",1
"SEPTIN7P13",3
"LINC01260",1
"ZNF883",1
"ISYNA1",2
"SMIM14",1
"IRF6",5
"IL17RA",1
"TRAF3IP1",1
"NUSAP1",7
"TENT2",14
"ARHGAP29",1
"LILRA2",10
"ADA2",4
"LOC101929774",1
"GPR82",1
"FAM110B",10
"S100A4",4
"PCMTD1",5
"KCTD15",1
"MYCT1",9
"SLITRK4",4
"OAS2",13
"RGS14",2
"ZNF436-AS1",1
"DDX11",2
"HOTAIRM1",4
"PLK3",1
"BNIP3L",5
"TSPAN7",5
"PRXL2A",1
"KIAA0040",8
"MAP3K1",6
"COPZ2",4
"SIGLEC17P",1
"PELI1",8
"CYYR1",7
"BMX",7
"ECT2",5
"SLC48A1",5
"CHEK1",1
"MZF1",2
"ANGPTL1",1
"TMEM44-AS1",1
"YRDC",3
"ATP10A",1
"LOC101930112",1
"WASF3",9
"MRI1",1
"SH3YL1",1
"NFKBID",1
"AP2B1",5
"SYTL2",1
"ARHGAP42",5
"GSTM4",1
"COX10-DT",1
"TFRC",5
"GTSF1",1
"CDC42EP4",1
"MYO5C",1
"SLC40A1",5
"FCHSD2",3
"DEPDC1B",7
"TMEM223",11
"CD63",1
"SMCO4",4
"SLC3A2",3
"AKR7A2",1
"ICAM4",5
"FKBP1B",5
"PSMG4",15
"TKTL1",3
"CAMSAP2",4
"ANKRD10",1
"SAC3D1",1
"ZBTB3",1
"BUB1B",7
"CXCR6",1
"SLAMF8",2
"HIPK1",1
"TSPAN16",2
"OTUD7A",2
"TMEM229B",1
"SNRPA1",6
"DHCR24",1
"PLSCR1",1
"EHD3",1
"UQCC1",1
"TRAV13-1",1
"DPH5-DT",1
"KCTD12",4
"HGF",1
"TRIM51",1
"LOC105370569",1
"CELSR1",1
"FMNL2",1
"CYRIA",1
"PTPRE",1
"CCNE2",7
"SRGN",1
"H2AC18",6
"KIR2DL2",0
"KRT10-AS1",1
"SLC1A4",1
"MAP4K1",2
"CDC34",5
"CYP4F35P",1
"CDC37L1",1
"RNASEH2B",1
"MTMR3",5
"GATAD1",6
"ZNF605",1
"LGMN",0
"CTC1",1
"CETN3",1
"SORT1",10
"RMI2",7
"ATPAF1",1
"PLCG1",1
"HSD11B1-AS1",1
"PPP3R1",5
"RNF130",1
"CHI3L2",1
"FPR1",6
"SPOP",8
"ALPK1",1
"STK36",1
"SLC9A7",1
"TLR1",4
"C19orf25",1
"TDRD6",3
"HTR7P1",4
"NINJ2-AS1",4
"LINC00663",2
"FBXW7",8
"MYO1B",3
"PDLIM5",1
"GOLGA4",11
"CD4",4
"IBA57",5
"WARS1",13
"DNASE1L3",1
"ZC3H13",1
"C1orf116",5
"CUX1",2
"HMG20B",2
"ATP8B3",4
"B4GALT1",2
"CDCA7",7
"IRAK1",6
"NDST2",6
"SRGAP2",3
"CITED2",6
"ADCY9",1
"CAMSAP1",14
"AP3M2",2
"SLCO4C1",7
"BNC2",1
"C5orf34",1
"UPP1",1
"C9orf85",1
"TMOD2",1
"ANG",4
"CAV1",1
"AUTS2",15
"SSTR2",3
"KIR2DS5",0
"TMEM92",7
"GALC",1
"TENM1",1
"ENOX2",1
"CMTM5",9
"SLC15A3",6
"STK39",1
"PHC3",8
"SIK3",3
"MAN2B2",3
"TMEM273",3
"FAM117B",1
"RPS24",15
"FURIN",1
"PTER",1
"POU6F1",1
"WDR7",1
"SRSF8",6
"PRKXP1",1
"ZNF302",1
"CUEDC2",2
"PABIR3",1
"HIVEP1",3
"CFLAR",3
"MYEF2",1
"SPTLC2",1
"NAB1",1
"USP53",1
"PCED1A",1
"CCL5",1
"LAPTM4B",0
"CSTPP1",2
"USP12",5
"NRIP1",1
"ARHGAP19",3
"DPYSL2",3
"NBR1",1
"YAE1",1
"LRRN1",3
"RALA",1
"SERPINB9P1",3
"PRKCA",1
"SPI1",10
"CREB5",4
"CLECL1",1
"PHOSPHO1",5
"DUSP10",1
"ABCC4",5
"CCNA2",7
"CXCR4",1
"GANC",4
"ARAP3",10
"CFAP70",1
"NPRL2",2
"LIAS",1
"ABTB3",4
"FAM217B",1
"WDR1",1
"BCL2",1
"CYB561A3",2
"CTSD",6
"EOLA2-DT",1
"GALK2",1
"ZEB1",1
"SEPTIN1",1
"TRAV12-2",1
"MAP2K6",1
"MAP1LC3B",1
"SCGB3A1",2
"SIAH2",5
"ETNK1",12
"C10orf95-AS1",1
"C8orf88",5
"TSGA10",1
"NDUFA3",2
"SMCHD1",14
"TPM1",5
"UBASH3A",1
"VSIG10",1
"EPAS1",1
"ST8SIA1",3
"LYG1",1
"PIP5K1B",6
"DUSP6",1
"AFF4",1
"RHOBTB3",1
"ITGA4",1
"TTC7B",9
"AGTRAP",2
"SEC31B",1
"SBNO2",6
"LINC02210",1
"LIPA",3
"EPM2A",1
"SLC16A7",6
"LOC101927432",1
"ADAM28",3
"AFF1",11
"ZNF846",1
"DMXL2",3
"FAM78A",1
"SEMA4A",10
"ASAP1-IT2",1
"C9orf72",1
"ZCCHC7",6
"AMPD2",2
"SLC22A15",6
"TRAV23DV6",1
"GFI1B",9
"MAF",1
"COMMD6",1
"RGS18",9
"SLC12A2-DT",6
"STRBP",1
"SREK1",11
"AHI1",4
"ABHD5",1
"CPPED1",4
"LINC02656",1
"PAWR",1
"NEXN",9
"POLRMT",2
"CYP4F2",7
"CCR5",12
"HYMAI",11
"CCND3",1
"ATP1B2",5
"EPC1",8
"FITM2",1
"UBTD2",3
"GABPB2",1
"COL1A1",1
"TRAF3IP2",3
"TIAM1",1
"CARD6",6
"HSF2",12
"JAK1",14
"SNX22",1
"USP45",1
"HK3",10
"PCYOX1L",1
"PNISR",6
"SLC30A1",8
"HCG4",1
"CAPG",10
"DHTKD1",1
"TBC1D30",3
"CDC25A",7
"TRAV12-1",1
"RAD51C",1
"SMPDL3A",10
"ABCG1",0
"SHCBP1",7
"SIGIRR",1
"RPH3A",4
"CDH2",1
"ERMN",12
"PXYLP1",1
"PI4K2A",8
"FANCF",1
"DDX31",1
"TXNIP",3
"TBC1D5",4
"NFIB",9
"SLC25A46",1
"CCDC91",3
"EDEM3",2
"TNFSF11",4
"CXCL13",1
"GBA1LP",2
"ZNF623",1
"TSEN2",1
"CLN8",1
"HESX1",13
"SIPA1L2",1
"BOD1L1",0
"ESR1",1
"MERTK",2
"MKKS",8
"DCAF12",5
"RNF217",4
"THEMIS2",2
"TRAV13-2",1
"TMEM121B",4
"PON2",1
"CSF2RA",10
"PTPN12",1
"PAN2",1
"PGM2L1",15
"CTSLP8",3
"SEPTIN11",1
"ACAT1",2
"URB1",1
"CALHM2",4
"SDAD1-AS1",3
"TMEM30B",1
"STARD8",3
"DOP1A",1
"P2RX1",6
"CUZD1",1
"IL2RB",1
"MIR646HG",1
"ENPP3",1
"CEP128",1
"SCOC-AS1",1
"TBC1D12",1
"FPGT",1
"CTTNBP2NL",1
"ZNF717",1
"IL6ST",11
"ANK3",1
"TMA16",1
"PCCA",1
"CWC27",1
"ERAP1",1
"CD74",4
"PDGFC",4
"COCH",1
"HMBOX1",7
"LINC00158",3
"TUBE1",2
"AHCYL2",1
"CAMK2N1",1
"NAV3",1
"FLACC1",5
"WNT5A",1
"TBXAS1",4
"ZNF322",1
"SKP2",1
"CCR2",1
"FAM111A-DT",1
"ADGRE1",6
"TRPV1",1
"SIN3B",1
"ST8SIA4",1
"ZNF234",1
"TRAV25",1
"GSPT1",2
"TP53BP2",1
"SYNJ1",1
"SLC12A6",1
"PYGL",10
"SRD5A3",1
"PHLDB2",1
"WDR4",8
"DRC9",1
"ITPK1-AS1",14
"MIR23AHG",1
"TIPARP",1
"ANKRD20A5P",1
"RIN3",2
"SHLD1",5
"LMBRD1",3
"MACROH2A1",8
"LINC00205",1
"PRRG4",1
"KANSL1",2
"BCL7A",1
"CDKN3",7
"ABCC10",2
"ALKBH8",1
"RAB40C",2
"SYAP1",1
"KIF1B",1
"HM13",11
"ITGAV",3
"ALOX5AP",7
"GEMIN5",1
"GDPD5",2
"PHTF1",1
"TMEM97",1
"CENPE",7
"PDXK",3
"TMPO",6
"RLIM",1
"KRABD4",1
"TBC1D8",4
"RABGAP1L",2
"CHD2",14
"CARINH",2
"DDIT4",1
"H1-0",1
"CNRIP1",7
"ST6GAL1",1
"SLC16A1",3
"TNRC6C",3
"NRBP2",1
"JAK2",3
"KBTBD6",7
"FGD2",1
"SGMS2",10
"GPR4",3
"CLEC4E",1
"DTD2",1
"ZNF204P",1
"ABHD17C",3
"MEAK7",1
"CLN8-AS1",5
"TNFSF13B",4
"TNFSF10",1
"PCDH9",1
"PPP2R3C",2
"ZNF519",1
"TRMT13",1
"TNFRSF10B",6
"RIF1",14
"MRPL43",2
"RBM38",5
"ERLIN2",1
"ALCAM",3
"RFLNB",1
"DPY19L2P2",1
"EOLA1-DT",1
"HNRNPLL",1
"NDUFAF5",12
"ATP1B1",0
"PIDD1",2
"TGFB1",6
"LINC00540",10
"TRAV10",1
"WDFY4",2
"ENKUR",9
"VKORC1L1",1
"LPL",3
"CNST",11
"NKD1",4
"TRAV21",1
"SMIM27",2
"SLC44A1",4
"RNASEH1-DT",1
"HAVCR2",1
"RAB7A",3
"TCHP",1
"MRS2",1
"MCF2L",1
"TRIB2",1
"GPR171",15
"QRSL1",1
"LINC00665",1
"PCNX2",1
"DPPA4",1
"AIG1",10
"UHRF1",7
"ZNF487",4
"ARHGAP23",1
"PAAF1",1
"IFNAR1",8
"RIMS3",1
"SEL1L3",1
"TAF13",1
"ICMT",1
"NANOG",1
"TMEM219",4
"DYRK2",6
"P2RX7",13
"IL11RA",1
"OSBPL5",4
"BAG4",15
"RTN4IP1",1
"PIGF",1
"ELAC1",1
"KLHL18",5
"GYPE",5
"B4GALT6",1
"RAD50",1
"ATG7",1
"MARCHF3",3
"PRKCD",6
"TTN",1
"ITPRIPL2",4
"SIGMAR1",1
"TMPRSS3",1
"PIP4K2B",1
"DDX60",1
"SHKBP1",2
"RFX2",1
"TLK1",11
"LDAH",1
"TOP6BL",1
"EGLN3",1
"ARHGAP33",1
"CCDC183",1
"FLOT1",6
"RNF24",1
"DLX2",3
"LCLAT1",1
"LOC105369957",1
"DIP2A",2
"PDCD6IP",1
"LOC105372733",1
"LONRF1",8
"FAM120C",1
"MEST",1
"ALDH3B1",4
"FADS1",3
"CYP27A1",4
"TAF1A-AS1",1
"LOC105373383",2
"HELZ2",13
"MBNL1",1
"BATF2",1
"ASGR1",4
"NR1D2",6
"LINC01619",4
"LMNTD2-AS1",2
"MINPP1",5
"MIR570HG",3
"AMPD3",3
"KLC3",5
"ERCC4",1
"E2F5",1
"RBM20",1
"RITA1",2
"TRAF3IP2-AS1",1
"PITHD1",5
"ACSL5",3
"JPT2",8
"MLH3",1
"RHOG",6
"PLEKHA1",6
"MTRF1",1
"FRMD3",9
"SLC9A3-AS1",1
"PRDM2",11
"ZFP28",1
"SMARCE1",1
"BMF",1
"SIGLEC6",1
"FBXO41",1
"NET1",1
"WDR54",2
"UBE2J1",1
"MYC",2
"ACKR3",2
"CD93",1
"PLA2G4A",6
"TMT1B",7
"PNISR-AS1",1
"RNF145",3
"FLVCR1-DT",1
"LRRFIP1",11
"CAPRIN2",5
"PALM2AKAP2",3
"MTHFD2",3
"FNBP1L",5
"NFKBIE",6
"NUDT5",1
"TRAPPC5",2
"SMAD5",6
"CDC14A",5
"C10orf143",1
"MIA2",1
"SCARF1",1
"DFFB",1
"KLF9",11
"ENDOD1",5
"MCPH1-AS1",1
"RASGRP4",4
"MYLK4",1
"GATA3",1
"CEP126",1
"MAP1LC3A",3
"KCNQ5",1
"C1orf122",3
"LINC03086",1
"ACAP1",1
"H1-3",1
"LRRTM2",1
"POLR1G",1
"ZFAND5",1
"ZNF677",1
"IMPACT",3
"NAV1",1
"PRELID2",3
"TBCEL",5
"KRAS",2
"HTR2B",14
"RC3H1",1
"LILRA5",15
"TTC13",1
"LINC00189",1
"KLHDC7B-DT",13
"IP6K2",8
"THNSL1",1
"SATB1",2
"FOXN3-AS3",14
"RHBDD2",1
"PEAK1",3
"MAPKAPK3",10
"UBE2L3",1
"R3HDM4",5
"LINC00173",2
"CCDC191",1
"FAF1",1
"MLKL",10
"ZMAT3",1
"NEXMIF",1
"IFT74",1
"C1GALT1C1",8
"RASAL2",0
"PUDP",1
"MTX1",6
"CACYBP",1
"DENND5B",1
"EID2B",1
"TAMM41",1
"C5orf63",1
"SLC47A1",10
"GSPT2",1
"ZNF616",1
"SERPINB9",1
"ERMP1",1
"AK5",1
"TJP2",3
"ALG10B",1
"HCP5",8
"P2RY2",6
"PPM1M",2
"GGT7",2
"HACD2",6
"GDPD3",1
"RNASET2",5
"CELSR2",1
"RPS20",1
"PKIG",1
"CCR3",1
"AGBL3",1
"MRPL42",1
"CCDC149",4
"CCDC7",1
"LINC02481",1
"TENT5A",15
"TFEB",2
"KPNA4",1
"MSN",9
"LOC100506730",1
"PDE3B",2
"KICS2",1
"TPM2",2
"MSL3",1
"GOPC",1
"IGF1R",2
"ZNF449",1
"DAPK2",7
"SRPK1",3
"CHIC2",3
"RCAN3",6
"CD58",1
"ATP6V1D",12
"STRADB",5
"FPR3",0
"SETD4",1
"TAFA2",10
"LCP2",1
"NUDT4",5
"NAPG",5
"SLC2A5",7
"ADIPOR1",5
"REPS2",7
"CRYGS",1
"DLG3",1
"ZCCHC2",1
"TTLL5",14
"REL",2
"MAP3K8",1
"MORF4L2",11
"SPRED1",4
"PHRF1",14
"NAPA",1
"PPT1",4
"LRP5L",6
"ANKRD28",1
"GBP4",13
"SLAMF1",13
"HNRNPH1",6
"PDK1",2
"RALGAPA2",1
"WAS",2
"SOBP",1
"ZNF780A",8
"ZNF117",1
"ANXA5",3
"ZNF81",1
"GPLD1",1
"SFR1",3
"TMEM150C",1
"PLEKHO2",6
"DGKA",1
"ICOS",4
"PTGR3",1
"LINC02482",1
"RALGAPA1",14
"LRBA",1
"BCL2L14",13
"RARA-AS1",6
"SETD5",1
"TNNT1",2
"BRAF",1
"MORC2",1
"PRG4",1
"IQCH-AS1",1
"PANK1",1
"PADI2",10
"TRAV20",1
"TRIO",11
"SPOUT1",11
"MAPKAP1",3
"CLDND1",1
"PLCL1",1
"C1orf162",4
"ABCD2",1
"VSIG1",1
"MYLIP",11
"LEF1",1
"MMP25",1
"PDSS2",1
"ASAH1",1
"MEIS1",9
"PARVG",2
"QNG1",8
"SBF2",4
"ZNF263",3
"SH3BP4",0
"AXL",1
"TNFRSF25",1
"NLRP7",1
"UTS2",1
"NSMAF",3
"ZNF585B",1
"RNF170",1
"PSRC1",4
"LOXL1-AS1",1
"WDR76",8
"UST",1
"RRAS",2
"LINC00324",11
"CCND2",2
"PLXND1",3
"DNASE1",1
"GLIDR",1
"RELT",1
"ISM1",0
"PPCDC",6
"BEND5",1
"UGDH",1
"GKAP1",1
"HABP4",1
"AKT3",2
"KBTBD2",8
"ERMAP",5
"COA3",11
"PLAAT4",1
"ACTL6A",1
"JOSD1",1
"MICA-AS1",1
"LOC105371622",11
"NCAPG2",7
"AVIL",0
"BTBD8",1
"EXOC6B",1
"NPL",5
"PSMB9",1
"BDH2",1
"FASTKD1",1
"ZFYVE19",2
"HCG18",12
"TUBA1A",3
"PSMA5",1
"PLSCR4",5
"CLNS1A",3
"LMO2",4
"TRPS1",0
"DTX4",3
"RAPH1",3
"BCS1L",2
"RAB2A",1
"LGALS1",10
"RDUR",13
"STAT3",1
"CD96",15
"NUP214",4
"HEATR5B",1
"CHEK2",1
"TOMM40L",1
"YBEY",1
"NMNAT3",1
"TOR1AIP2",1
"UBA6",2
"CST7",2
"B3GALT2",1
"FYB1",1
"LOC100505915",2
"TNFSF12",2
"PIP4K2A",5
"NXT1",1
"CAPS",2
"PASK",15
"C1orf54",4
"CD2",1
"USP15",1
"MIR181A2HG",1
"LOC105369595",5
"MYZAP",9
"SLC8A1-AS1",4
"SPATA2L",6
"ANKHD1",1
"ZSCAN12",1
"MTHFD1L",1
"EWSR1",11
"SORD",1
"IKZF5",8
"CCR1",1
"ZNF266",1
"FBXL20",1
"TRIM66",1
"POLR3GL",1
"ZNF638",2
"PLCG2",3
"SH3BP2",12
"ATM",1
"RANBP9",2
"UMAD1",1
"ZNF438",3
"CEP41",1
"MT2A",1
"GPC2",1
"WASF2",1
"FAM86B2-DT",1
"FAM83A",5
"INTS7",1
"RNF19A",11
"SLC3A1",1
"GPALPP1",6
"SMC6",1
"RHEX",1
"HSPA4",1
"CTIF",4
"GPD1L",1
"NLN",1
"MED13L",11
"JADE3",1
"FBP1",15
"DPH5",1
"CISD2",5
"CA5B",1
"TRAF5",1
"EARS2",1
"PGK1",1
"MAML3",1
"NUP58",2
"SLC1A5",5
"CFL2",1
"MRPL30",1
"SYCE1L",2
"TOR1AIP1",6
"GAB2",1
"EPM2A-DT",1
"NCR3",1
"ZNF711",1
"AK9",1
"LYSET",12
"BIN2",3
"QPCT",10
"PNPT1",13
"MRPS18C",1
"SHROOM1",1
"ITGA5",6
"UBXN6",5
"MUC1",1
"TTC7A",8
"SGCE",1
"SSX2IP",1
"PAPSS2",6
"CLHC1",1
"NPRL3",5
"CAMK4",1
"ATP8A1",14
"TMEM19",2
"EPS15L1",4
"LMBRD2",1
"SHISAL2A",2
"RRN3P1",1
"ZNF512",1
"JAKMIP1",1
"IMPDH1",2
"PSMB7",11
"DDHD2",6
"SELENOP",1
"HMOX1",1
"DENND2C",4
"ZBED6",11
"AOAH",3
"DNAJC5",1
"MZB1",1
"ALAS1",6
"PARM1",1
"ELP4",1
"SYTL1",2
"DAPK1",1
"RUNX1-IT1",14
"SNAPC1",3
"NUF2",7
"ZNRF1",5
"GCM1",12
"PCIF1",8
"ZNF253",1
"XRN1",11
"CAMKK2",1
"HSPA6",2
"PIK3AP1",1
"VIL1",9
"NF1",1
"ITPKB",14
"TRIM68",1
"KAT6A",14
"BICD1",1
"NPAS2",15
"NUDT11",2
"TMEM38B",1
"SRGAP2B",11
"NDUFA11",2
"FAM89B",2
"ZNF101",5
"DOK3",6
"RNF123",5
"SDCBP2-AS1",2
"REG4",15
"TUSC1",1
"B4GAT1",1
"ENPP4",7
"TMCO6",1
"BRD3OS",1
"DZANK1",1
"PPM1F",2
"TMEM185B",1
"PUS7L",1
"AUH",1
"HSDL2",1
"NR2C1",1
"GPR22",14
"STIM1",5
"ZNF618",3
"YTHDF3",1
"GTF2H2B",1
"MYO15B",2
"PYROXD2",1
"KIAA1958",2
"CKS2",1
"SMG1",11
"SNORA21",1
"LOC101928893",1
