"Gene","Module"
"IQGAP3",7
"CLMN",3
"DEPDC1",7
"ATP13A3",3
"TTC22",1
"SYNPO2",3
"CCL22",1
"ZNF703",3
"SPRY1",1
"NME8",4
"ZNF285",1
"ABCA13",7
"ALDH1A1",4
"LAMP3",13
"ANLN",7
"TRAF3IP3",1
"DDIT4L",3
"KIF18B",7
"ADGRB3-DT",4
"ZNF248",1
"SLC1A3",3
"TFPI",3
"DNAJC6",5
"PARAIL",3
"TMCC2",5
"KIF16B",1
"RRM2",7
"IGLV3-25",1
"SH3BGRL2",9
"CHD7",1
"IGHD",1
"IREB2",8
"E2F7",1
"SNX9",1
"MIR22HG",1
"CD300LF",4
"IGLV1-44",1
"KLF1",5
"DPYSL3",3
"EPHA1-AS1",4
"LDB2",1
"ZNF573",1
"CD274",3
"FOSL1",3
"BIRC5",7
"TLR8",4
"TRIM7",4
"RIN2",1
"ACACB",1
"RNASE6",4
"GLUL",1
"TM4SF1",7
"ZNF532",3
"OAS1",13
"TNFAIP3",1
"TMEM144",4
"INSIG1",1
"CENPA",7
"NFE4",1
"HLA-DMB",3
"LINC01465",3
"ZNF662",1
"RNASE2",10
"PGLYRP1",7
"NAPSB",2
"XK",5
"LRRK2",4
"ETS2",1
"FAM30A",1
"DACT1",1
"NR3C2",1
"PDE5A",9
"MROCKI",7
"NEFL",1
"AUNIP",7
"CD33",4
"HBQ1",5
"HBB",1
"MECOM",1
"SERPING1",13
"A2M-AS1",1
"SERPINB8",3
"SLAMF6",1
"EIF2AK4",1
"CD244",3
"SLC25A45",1
"STMN3",1
"E2F2",7
"NOCT",1
"SLC14A1",5
"HOXB-AS1",7
"MN1",1
"IRAK3",1
"INPP4B",1
"FKBP9",4
"KIAA1671",1
"VIM",1
"VNN3P",1
"TREM1",1
"TIMP1",1
"ZC3H12A",1
"FCGR2B",1
"TCP11L2",5
"SPECC1",3
"CACHD1",1
"PF4",9
"ELAPOR1",1
"SLC41A2",3
"SPTA1",5
"SPON2",1
"RNASE4",4
"GATM",1
"IGKV1OR2-108",1
"KANSL1-AS1",1
"HLA-DPA1",12
"KCNH8",1
"RECK",1
"UPB1",6
"SLC22A1",3
"SSPN",1
"TMTC2",4
"F13A1",9
"BLTP3B",1
"CD19",1
"AZU1",7
"ZFP36L1",2
"PARP11-AS1",1
"DRAM1",3
"SCO2",2
"MYLK",9
"NOG",1
"TAB3",1
"ODAD4",5
"IGKV4-1",1
"SLC44A5",1
"COL4A3",1
"PLBD1",4
"CFD",2
"CRISPLD2",4
"ITGA9",7
"ANKRD55",1
"ABCB4",1
"SLC28A3",7
"ZNF697",3
"JUN",1
"GNAZ",9
"TDRP",9
"NFKBIA",1
"IGLJ3",1
"RNF144B",1
"ADAMTS5",1
"APBB2",1
"IER3",1
"HOPX",1
"GLCE",1
"CLCN4",1
"LOC105379362",1
"BCAT1",1
"RHOBTB1",9
"DDX11L2",9
"TAL1",9
"NEDD4L",5
"ALDH2",4
"LTBP1",9
"CXCR2",4
"H3C10",9
"FOS",1
"RHCE",5
"CYP4F29P",1
"NFAT5",1
"SH2D1B",1
"DTL",7
"LACC1",3
"AATBC",4
"ANPEP",6
"IGLV@",1
"LINC00996",1
"SLC16A10",15
"SLC15A2",1
"KMO",12
"LEF1-AS1",1
"SIGLEC7",4
"DNM3",9
"TSHZ2",1
"CKMT2-AS1",1
"ZNF467",2
"LOC105369890",3
"ASPH",1
"CCL28",1
"THBD",1
"IVNS1ABP",1
"GFOD1",1
"SLC25A39",5
"FCRLA",1
"SAMD12",1
"LIF",3
"ZSWIM7",1
"COBLL1",1
"FCGR3B",1
"TBX21",1
"OMA1",1
"TNFSF13",4
"KAT14",1
"EPB41L3",1
"CLEC7A",3
"IFI44L",13
"YOD1",5
"DUSP5",1
"GRN",2
"CEBPD",4
"ZFC3H1",1
"SLC22A4",1
"EHD1",6
"RUNDC3A",5
"STON2",9
"BEND2",9
"PCLAF",7
"SKAP1-AS2",1
"CDK1",7
"APOBEC3B",7
"PLXDC1",1
"SIGLEC5",7
"BPGM",5
"TLCD4",5
"ERVH48-1",4
"SPARC",9
"HRH1",3
"PSAT1",12
"TRAF1",3
"S100B",1
"PLEK",1
"KIF4A",7
"MS4A7",10
"KCNE3",10
"PMAIP1",1
"AGO2",1
"FAM184A",15
"SPX",9
"LRG1",1
"VNN1",1
"BEX1",7
"SLC39A11",4
"MNDA",4
"LINC00494",1
"COX11",1
"ANKRD36BP2",1
"LINC01366",3
"STEAP4",1
"FNIP2",3
"PF4V1",9
"ATP6V1C1",12
"SMOX",5
"CTNNAL1",1
"CSF1R",4
"CMSS1",4
"PDK4",4
"CDKAL1",1
"CSRNP1",1
"GABARAPL1",1
"MXD1",1
"GZMK",1
"COLGALT2",1
"SAMD9L",6
"LINC01013",1
"SLC43A3",3
"EPHX2",1
"CLDN23",1
"KLF2",3
"LY6K",3
"KMT5B",8
"P2RX5",1
"IL12B",3
"TDRKH-AS1",1
"CA3",5
"RIGI",1
"XCL1",1
"SEC14L1",1
"PTPRO",1
"ZBTB43",2
"TNFAIP8L2",8
"CUX2",1
"ZKSCAN7",1
"CFP",2
"PYCARD",2
"AK4",3
"POLR1HASP",1
"CST3",2
"CDCP1",3
"MME",1
"CCNA1",3
"B3GNT7",3
"SUCNR1",7
"KCNK5",7
"CR2",1
"MS4A14",4
"ITGB5",9
"CEP43",1
"PKHD1L1",1
"GCSAML",1
"CEP55",7
"DYNLT5",7
"INAVA",7
"ITLN1",5
"METTL21A",14
"PHACTR2",7
"LYPD3",3
"LAIR2",1
"VSTM1",10
"CPA3",1
"DYSF",7
"MPPED2",1
"OSGIN2",1
"CKAP2L",7
"ZFY-AS1",7
"C1orf74",1
"LAMB3",3
"HRH2",4
"DIAPH3",7
"S100Z",4
"CD163",4
"CAVIN2",9
"NACC2",4
"ADAP2",2
"NDUFAF4",8
"CTTN",9
"ABCD3",12
"C12orf42",1
"SESN3",2
"GLI4",2
"LOC101928343",2
"BCL2A1",1
"DHRS9",7
"SETBP1",1
"BID",6
"MIR503HG",3
"NMT2",1
"OSBP2",5
"PDGFD",1
"SNTG2-AS1",2
"AKR1C3",1
"CDC42",1
"LIMA1",1
"VPS45",1
"ZHX2",3
"NOSIP",2
"CARMIL1",1
"MAFG",1
"PPP1R3E",1
"GVINP1",1
"SLC46A3",1
"C2orf74",1
"DRC2",1
"ADHFE1",1
"NLRP12",10
"RIOK3",5
"PADI4",7
"GNLY",1
"IFI44",13
"RRAGD",6
"PWAR6",1
"ANXA2",3
"RAP2C",1
"CPEB4",2
"PLXDC2",4
"GIMAP1",1
"RGCC",1
"SCML4",1
"OSGEPL1",1
"PBX1",9
"CUTALP",1
"IRGQ",3
"GUSBP14",3
"YBX3",5
"SAXO2",1
"WLS",4
"LOC389834",1
"LILRA3",10
"HMMR",7
"RDH13",1
"SLC25A43",1
"CD79A",1
"H3C3",7
"RABGEF1",1
"TMEM14A",1
"HPSE",6
"PLEKHH2",1
"GADD45B",1
"DLGAP5",7
"HDAC9",1
"PDLIM7",6
"HTATSF1P2",10
"CLU",9
"CMTM2",1
"CLEC12A",4
"SPRED2",3
"BEST1",1
"CD72",1
"COL4A4",1
"PDZD4",1
"DPEP2",1
"ANKRD9",5
"EGF",9
"ARL4A",5
"NEAT1",11
"POP5",1
"DAAM2",7
"LINC01550",1
"KCNJ2",3
"ATP8B4",7
"KLF4",12
"GNA15",1
"MGAT4A",3
"ANK1",5
"LACTB",1
"TMEM158",1
"NLRP3",1
"CLEC4A",4
"DHRS4-AS1",1
"LRRC25",2
"IFIH1",1
"FFAR2",1
"MIER1",8
"SLC11A1",1
"TRAV12-3",1
"BTN3A2",1
"DNAJC24",1
"MAN1C1",1
"DUSP16",3
"GZMB",1
"USP18",13
"CLYBL",1
"MSRB3",7
"LINC02273",2
"CRYZ",1
"CALCRL",3
"IL1RAP",1
"PSMA8",1
"CD22",1
"MTARC1",4
"DAGLB",0
"CHP1",1
"HAL",4
"CPM",1
"ZNF599",1
"ZBTB10",1
"TSPAN13",1
"PTGR1",1
"SLC66A3",3
"GRB10",3
"GUCY1B1",9
"C1RL",1
"ERAP2",1
"ABCG2",5
"PMEPA1",15
"MTERF2",1
"SLX4IP",1
"MARCHF8",5
"NT5E",1
"CYP1B1",0
"PPBP",9
"ELOVL6",5
"PTPRK",1
"RAB20",1
"EIF2AK3-DT",3
"TOP2A",7
"ZNF578",1
"ARHGEF40",2
"TMC8",1
"SLC6A8",5
"ZDBF2",4
"AMIGO1",1
"CCNB2",7
"SLC43A2",1
"C3AR1",6
"IFFO1",3
"PCYT1B",9
"MCEMP1",6
"KIF14",7
"ZMIZ1-AS1",3
"RASSF8",3
"GAS2L1",9
"NFE2",5
"TBC1D10C",1
"HRK",1
"PLA2G7",12
"CR1",3
"IRAK2",3
"OLIG1",10
"MAP7D2",0
"MGST1",4
"RABEP2",2
"TNFRSF9",3
"BCL3",1
"ZNF780B",1
"FAM171A1",1
"RNF19B",1
"GPR146",5
"ZNF781",1
"SFXN2",1
"LINC02910",1
"DSC2",4
"ZNF727",1
"S1PR5",1
"CD52",3
"TPD52",1
"KATNBL1",12
"LNCATV",1
"NCF1",2
"DDIT3",1
"NUDT16",4
"RAB37",3
"CAPN3",2
"CYBC1",11
"YPEL4",1
"LIN7A",7
"ISG15",13
"GSTM1",1
"FBLN5",1
"CTSW",2
"EPPK1",1
"ITGB2-AS1",2
"ATP5F1E",9
"CD79B",1
"SUGCT-AS1",3
"SCAI",1
"STX18-AS1",1
"PNKD",1
"SEZ6L",1
"PRAM1",2
"BBOF1",5
"ZDHHC21",1
"LINC02915",9
"CYBRD1",4
"KLF5",7
"LPCAT2",1
"ARHGAP24",15
"CD1A",1
"FCGR1BP",10
"CIRBP",1
"SYNM",1
"TRBV27",9
"ADGRG1",1
"AGFG2",1
"NRP2",3
"DCSTAMP",3
"BTLA",1
"DIAPH2",4
"NRGN",9
"PYHIN1",1
"FCMR",1
"PSMB2",1
"POLI",1
"DPF3",6
"PRR11",2
"TMEM204",1
"CDADC1",1
"ASGR2",4
"KIF21A",1
"CSGALNACT2",2
"ZNF165",1
"GAL3ST4",1
"SOCS1",1
"RGS3",1
"SLC8A1",4
"RCBTB2",4
"SEPTIN10",12
"MIOS-DT",1
"TPST1",1
"NIBAN3",1
"PDE4DIP",3
"ARRB1",2
"GBP1",13
"KDM6B",3
"XAF1",13
"USP6NL",1
"LINC01730",1
"ZNF366",1
"UICLM",2
"MAP3K20",3
"TNFRSF21",1
"ETV5",1
"SERPINI1",1
"TYMS",7
"PCSK5",1
"GAPT",8
"LINC00513",3
"ZEB2",1
"PRKY",0
"TAFA1",1
"PHLDA2",3
"BMPR1A",1
"MYCL",4
"OR52K3P",10
"CBFA2T3",2
"CDCA5",7
"TIMP2",6
"ATG4C",1
"MARVELD1",4
"FAM210B",5
"IL18",1
"CCNG2",1
"PTPN4",1
"METRNL",1
"NCS1",1
"RSPH3",1
"NFIL3",8
"VWA5A",1
"CPEB2",1
"LDLRAP1",1
"MKI67",7
"GSTM2",1
"CCDC93",1
"ZBTB24",12
"TFR2",5
"APBA2",1
"MAP3K20-AS1",3
"AREL1",1
"RGMB",1
"TBCK",1
"ENPP2",1
"ITGAL",3
"GAS6-AS1",1
"FECH",5
"AKAP19",9
"KLHDC1",1
"BCL2L1",5
