"Pathway","Mean_FHL","Mean_HC","Delta","t_stat","P_value","FDR"
"Ferroptosis",0.17958736003502,-0.33703889005593,0.51662625009095,5.57944094469312,4.64171995036565e-05,0.000167307025973825
"Apoptosis_Intrinsic",0.0889053693267365,-0.149657067108408,0.238562436435145,2.27188959186616,0.0387214853600649,0.0542100795040909
"Apoptosis_Extrinsic",0.0832717372642891,0.0018978548200468,0.0813738824442423,0.889270061893632,0.387976540957582,0.452639297783845
"Necroptosis",0.154686119113067,-0.116158290412186,0.270844409525253,2.49943373917626,0.02229110770113,0.0520125846359699
"Pyroptosis",0.0286060514138704,0.082332134841825,-0.0537260834279546,-0.40558065233768,0.691368550754287,0.691368550754287
"Autophagy",0.238206549015009,-0.382779638204827,0.620986187219836,6.1086359027849,4.7802007421093e-05,0.000167307025973825
"Programmed_Cell_Death",0.137152187853461,-0.0530055024589061,0.190157690312367,2.31369551119666,0.0306141466366354,0.0535747566141119
